supplier_order_id,supplier_id,supplier_name,product_id,warehouse_id,order_date,expected_delivery_date,actual_delivery_date,quantity_ordered,quantity_received,order_status
PO000020,SUP003,BioHealth Distribution,P027,WH005,2025-08-02,2025-08-07,2025-08-06,2435,2435,Delivered
PO000021,SUP002,PharmaLogistics,P022,WH005,2025-12-04,2025-12-19,2025-12-17,4496,4496,Delivered
PO000022,SUP007,ColdMed Logistics,P017,WH001,2026-03-15,2026-03-20,2026-03-20,2340,2340,Delivered
PO000023,SUP004,EuroMeds,P033,WH001,2026-03-09,2026-03-23,2026-03-21,3329,3329,Delivered
PO000024,SUP006,HealthChain Partners,P005,WH006,2025-11-26,2025-12-15,2025-12-15,3376,3376,Delivered
PO000025,SUP007,ColdMed Logistics,P013,WH003,2025-09-29,2025-10-18,2025-10-16,1955,1955,Delivered
PO000026,SUP008,LifeCare Suppliers,P017,WH008,2026-06-11,2026-06-28,2026-07-07,1436,1436,Open
PO000027,SUP002,PharmaLogistics,P043,WH001,2025-10-22,2025-11-11,2025-11-10,1762,1762,Delivered
PO000028,SUP004,EuroMeds,P020,WH003,2025-06-28,2025-07-05,2025-07-04,4171,4171,Delivered
PO000029,SUP005,Global Pharma Supply,P020,WH009,2026-05-05,2026-05-13,2026-05-13,136,136,Delivered
PO000030,SUP003,BioHealth Distribution,P028,WH008,2026-01-17,2026-02-06,2026-02-04,3120,3120,Delivered
PO000031,SUP002,PharmaLogistics,P012,WH001,2026-03-11,2026-03-30,2026-03-29,3411,3411,Delivered
PO000032,SUP003,BioHealth Distribution,P020,WH001,2025-09-05,2025-09-10,2025-09-10,1580,1580,Delivered
PO000033,SUP004,EuroMeds,P007,WH007,2026-03-09,2026-03-17,2026-03-16,4022,4022,Delivered
PO000034,SUP004,EuroMeds,P005,WH004,2026-02-22,2026-02-25,2026-02-24,756,756,Delivered
PO000035,SUP007,ColdMed Logistics,P029,WH001,2026-05-12,2026-05-28,2026-05-27,2870,2870,Delivered
PO000036,SUP006,HealthChain Partners,P025,WH010,2025-12-02,2025-12-16,2025-12-16,652,652,Delivered
PO000037,SUP008,LifeCare Suppliers,P011,WH003,2025-08-07,2025-08-18,2025-08-30,2601,2470,Partially Delivered
PO000038,SUP003,BioHealth Distribution,P041,WH009,2025-10-21,2025-10-30,2025-10-29,3478,3478,Delivered
PO000039,SUP008,LifeCare Suppliers,P011,WH007,2025-11-10,2025-11-28,2025-11-27,289,289,Delivered
PO000040,SUP005,Global Pharma Supply,P032,WH007,2025-08-06,2025-08-12,2025-08-10,1668,1668,Delivered
PO000041,SUP002,PharmaLogistics,P038,WH004,2025-07-09,2025-07-18,2025-07-23,1049,1049,Delivered
PO000042,SUP008,LifeCare Suppliers,P018,WH002,2025-07-14,2025-07-18,2025-07-16,2849,2849,Delivered
PO000043,SUP006,HealthChain Partners,P015,WH004,2025-10-06,2025-10-16,2025-10-14,4350,4350,Delivered
PO000044,SUP005,Global Pharma Supply,P017,WH009,2026-06-05,2026-06-09,2026-06-07,4749,4749,Delivered
PO000045,SUP004,EuroMeds,P024,WH008,2025-09-28,2025-10-04,2025-10-04,4383,3287,Partially Delivered
PO000046,SUP005,Global Pharma Supply,P044,WH006,2026-03-11,2026-03-30,2026-03-30,253,253,Delivered
PO000047,SUP002,PharmaLogistics,P019,WH005,2025-09-11,2025-09-30,2025-09-28,3833,3833,Delivered
PO000048,SUP001,MediSupply Europe,P037,WH002,2026-03-13,2026-03-22,2026-03-22,4677,4443,Partially Delivered
PO000049,SUP001,MediSupply Europe,P005,WH009,2025-06-27,2025-07-11,2025-07-09,2570,2313,Partially Delivered
PO000050,SUP001,MediSupply Europe,P039,WH002,2025-10-09,2025-10-23,2025-10-21,1887,1698,Partially Delivered
PO000051,SUP003,BioHealth Distribution,P004,WH008,2025-11-04,2025-11-16,2025-11-14,3742,3742,Delivered
PO000052,SUP004,EuroMeds,P001,WH005,2025-08-19,2025-09-02,2025-09-02,2601,2601,Delivered
PO000053,SUP003,BioHealth Distribution,P030,WH003,2026-06-05,2026-06-24,2026-06-22,4999,4999,Delivered
PO000054,SUP001,MediSupply Europe,P017,WH006,2025-10-11,2025-10-18,2025-10-17,1717,1717,Delivered
PO000055,SUP002,PharmaLogistics,P043,WH003,2026-03-13,2026-04-01,2026-03-30,173,173,Delivered
PO000056,SUP007,ColdMed Logistics,P036,WH005,2025-06-28,2025-07-06,2025-07-05,4165,4165,Delivered
PO000057,SUP007,ColdMed Logistics,P050,WH003,2026-06-24,2026-07-14,2026-07-13,1785,1695,Open
PO000058,SUP006,HealthChain Partners,P030,WH007,2025-08-04,2025-08-17,2025-08-17,2926,2926,Delivered
PO000059,SUP006,HealthChain Partners,P043,WH004,2026-02-07,2026-02-22,2026-02-20,862,818,Partially Delivered
PO000060,SUP004,EuroMeds,P050,WH008,2025-12-06,2025-12-10,2025-12-08,780,702,Partially Delivered
PO000061,SUP008,LifeCare Suppliers,P018,WH008,2026-04-23,2026-05-08,2026-05-08,686,686,Delivered
PO000062,SUP003,BioHealth Distribution,P036,WH001,2026-04-19,2026-04-24,2026-04-27,1657,1574,Partially Delivered
PO000063,SUP005,Global Pharma Supply,P001,WH003,2025-12-17,2025-12-20,2025-12-18,1786,1786,Delivered
PO000064,SUP006,HealthChain Partners,P005,WH001,2026-01-27,2026-02-03,2026-02-01,2236,2124,Partially Delivered
PO000065,SUP006,HealthChain Partners,P018,WH006,2025-12-29,2026-01-08,2026-01-07,3469,3469,Delivered
PO000066,SUP005,Global Pharma Supply,P029,WH008,2026-04-05,2026-04-21,2026-04-21,2783,2087,Partially Delivered
PO000067,SUP002,PharmaLogistics,P017,WH007,2026-02-11,2026-03-02,2026-03-02,3777,3588,Partially Delivered
PO000068,SUP006,HealthChain Partners,P021,WH001,2026-04-11,2026-04-17,2026-04-15,2142,2034,Partially Delivered
PO000069,SUP003,BioHealth Distribution,P002,WH002,2026-01-04,2026-01-22,2026-01-20,3395,3395,Delivered
PO000070,SUP004,EuroMeds,P036,WH010,2026-02-06,2026-02-13,2026-02-11,4215,4215,Delivered
PO000071,SUP001,MediSupply Europe,P020,WH004,2026-06-03,2026-06-18,2026-06-18,2251,2251,Delivered
PO000072,SUP001,MediSupply Europe,P019,WH008,2025-12-06,2025-12-16,2025-12-17,2180,2180,Delivered
PO000073,SUP007,ColdMed Logistics,P018,WH003,2026-03-23,2026-04-07,2026-04-20,3071,2763,Partially Delivered
PO000074,SUP004,EuroMeds,P043,WH001,2026-06-24,2026-07-07,2026-07-05,2317,2317,Open
PO000075,SUP006,HealthChain Partners,P013,WH007,2026-01-22,2026-02-07,2026-02-07,4412,4191,Partially Delivered
PO000076,SUP002,PharmaLogistics,P047,WH005,2026-05-19,2026-05-22,2026-06-01,498,498,Delivered
PO000077,SUP005,Global Pharma Supply,P011,WH003,2025-12-02,2025-12-10,2025-12-08,4177,3759,Partially Delivered
PO000078,SUP008,LifeCare Suppliers,P033,WH001,2026-02-13,2026-02-16,2026-02-16,506,455,Partially Delivered
PO000079,SUP007,ColdMed Logistics,P049,WH008,2025-10-31,2025-11-17,2025-11-17,3332,3332,Delivered
PO000080,SUP007,ColdMed Logistics,P028,WH003,2026-01-20,2026-02-02,2026-01-31,4305,4305,Delivered
PO000081,SUP002,PharmaLogistics,P043,WH009,2025-12-22,2025-12-30,2025-12-28,4228,4228,Delivered
PO000082,SUP002,PharmaLogistics,P042,WH006,2026-05-16,2026-05-28,2026-05-27,1163,1046,Partially Delivered
PO000083,SUP004,EuroMeds,P044,WH008,2025-12-21,2025-12-28,2025-12-27,2725,2588,Partially Delivered
PO000084,SUP003,BioHealth Distribution,P021,WH002,2025-10-12,2025-11-01,2025-10-30,4168,4168,Delivered
PO000085,SUP007,ColdMed Logistics,P030,WH007,2026-02-28,2026-03-17,2026-03-15,1199,1199,Delivered
PO000086,SUP006,HealthChain Partners,P047,WH007,2025-08-20,2025-08-30,2025-08-29,3829,3829,Delivered
PO000087,SUP008,LifeCare Suppliers,P032,WH007,2026-04-03,2026-04-07,2026-04-07,4294,4294,Delivered
PO000088,SUP007,ColdMed Logistics,P023,WH007,2026-03-03,2026-03-08,2026-03-07,3117,2805,Partially Delivered
PO000089,SUP006,HealthChain Partners,P025,WH003,2025-09-01,2025-09-09,2025-09-12,2460,2460,Delivered
PO000090,SUP003,BioHealth Distribution,P032,WH010,2026-01-16,2026-02-05,2026-02-03,2497,2372,Partially Delivered
PO000091,SUP001,MediSupply Europe,P037,WH001,2026-01-24,2026-02-02,2026-01-31,1202,1202,Delivered
PO000092,SUP005,Global Pharma Supply,P041,WH006,2025-09-01,2025-09-19,2025-09-17,3331,3164,Partially Delivered
PO000093,SUP008,LifeCare Suppliers,P031,WH008,2025-09-03,2025-09-08,2025-09-07,1996,1996,Delivered
PO000094,SUP005,Global Pharma Supply,P013,WH004,2025-07-05,2025-07-09,2025-07-09,3460,3460,Delivered
PO000095,SUP008,LifeCare Suppliers,P006,WH010,2025-11-30,2025-12-13,2025-12-12,767,767,Delivered
PO000096,SUP001,MediSupply Europe,P001,WH005,2026-01-30,2026-02-04,2026-02-03,805,764,Partially Delivered
PO000097,SUP005,Global Pharma Supply,P008,WH003,2026-03-01,2026-03-13,2026-03-11,2642,2642,Delivered
PO000098,SUP005,Global Pharma Supply,P023,WH002,2026-03-13,2026-03-17,2026-03-15,2161,2161,Delivered
PO000099,SUP003,BioHealth Distribution,P047,WH006,2025-12-01,2025-12-04,2025-12-02,3286,3286,Delivered
PO000100,SUP008,LifeCare Suppliers,P005,WH006,2025-09-04,2025-09-12,2025-09-10,2203,2092,Partially Delivered
PO000101,SUP005,Global Pharma Supply,P029,WH003,2025-10-28,2025-11-04,2025-11-04,4090,4090,Delivered
PO000102,SUP001,MediSupply Europe,P022,WH003,2025-11-11,2025-11-17,2025-11-16,110,82,Partially Delivered
PO000103,SUP004,EuroMeds,P005,WH006,2026-02-17,2026-02-26,2026-02-26,733,696,Partially Delivered
PO000104,SUP006,HealthChain Partners,P017,WH003,2025-07-09,2025-07-14,2025-07-23,3115,3115,Delivered
PO000105,SUP002,PharmaLogistics,P018,WH006,2025-10-03,2025-10-19,2025-10-19,4955,4707,Partially Delivered
PO000106,SUP002,PharmaLogistics,P045,WH003,2026-01-16,2026-02-03,2026-02-03,3810,3810,Delivered
PO000107,SUP001,MediSupply Europe,P039,WH005,2026-05-18,2026-05-26,2026-05-26,1840,1840,Delivered
PO000108,SUP004,EuroMeds,P001,WH004,2026-02-05,2026-02-25,2026-02-23,4746,4508,Partially Delivered
PO000109,SUP007,ColdMed Logistics,P031,WH005,2026-02-06,2026-02-26,2026-02-26,4939,4939,Delivered
PO000110,SUP007,ColdMed Logistics,P024,WH007,2025-09-02,2025-09-15,2025-09-15,3025,3025,Delivered
PO000111,SUP002,PharmaLogistics,P016,WH001,2025-11-23,2025-12-10,2025-12-09,1141,1141,Delivered
PO000112,SUP001,MediSupply Europe,P005,WH010,2025-10-01,2025-10-17,2025-10-17,279,279,Delivered
PO000113,SUP006,HealthChain Partners,P048,WH005,2026-06-19,2026-07-05,2026-07-05,3647,3647,Open
PO000114,SUP006,HealthChain Partners,P032,WH001,2025-07-28,2025-08-06,2025-08-05,3175,3175,Delivered
PO000115,SUP006,HealthChain Partners,P026,WH010,2026-04-06,2026-04-09,2026-04-08,1413,1342,Partially Delivered
PO000116,SUP006,HealthChain Partners,P035,WH010,2025-11-17,2025-11-25,2025-11-24,3685,3685,Delivered
PO000117,SUP004,EuroMeds,P043,WH006,2025-09-17,2025-10-03,2025-10-01,2405,2405,Delivered
PO000118,SUP002,PharmaLogistics,P041,WH010,2026-04-25,2026-04-29,2026-05-10,3701,3701,Delivered
PO000119,SUP007,ColdMed Logistics,P024,WH007,2026-04-28,2026-05-02,2026-04-30,2026,2026,Delivered
PO000120,SUP001,MediSupply Europe,P044,WH010,2026-01-10,2026-01-23,2026-01-23,1468,1101,Partially Delivered
PO000121,SUP001,MediSupply Europe,P015,WH006,2026-05-28,2026-06-17,2026-06-17,1761,1761,Delivered
PO000122,SUP005,Global Pharma Supply,P023,WH008,2025-08-06,2025-08-17,2025-08-16,4621,4621,Delivered
PO000123,SUP002,PharmaLogistics,P011,WH007,2026-04-03,2026-04-10,2026-04-09,4732,4732,Delivered
PO000124,SUP003,BioHealth Distribution,P030,WH009,2025-08-27,2025-09-10,2025-09-09,1097,1042,Partially Delivered
PO000125,SUP007,ColdMed Logistics,P045,WH002,2025-12-26,2025-12-31,2025-12-30,3405,3405,Delivered
PO000126,SUP003,BioHealth Distribution,P030,WH003,2026-02-18,2026-03-07,2026-03-06,2342,2342,Delivered
PO000127,SUP001,MediSupply Europe,P006,WH009,2026-02-02,2026-02-09,2026-02-09,3102,2791,Partially Delivered
PO000128,SUP004,EuroMeds,P046,WH004,2026-02-22,2026-03-10,2026-03-24,2846,2703,Partially Delivered
PO000129,SUP004,EuroMeds,P005,WH002,2025-07-12,2025-07-29,2025-08-09,4735,4735,Delivered
PO000130,SUP001,MediSupply Europe,P048,WH005,2025-12-07,2025-12-19,2025-12-17,4170,4170,Delivered
PO000131,SUP005,Global Pharma Supply,P045,WH009,2026-03-01,2026-03-13,2026-03-11,3246,3246,Delivered
PO000132,SUP006,HealthChain Partners,P014,WH010,2025-11-28,2025-12-10,2025-12-10,1995,1995,Delivered
PO000133,SUP008,LifeCare Suppliers,P030,WH002,2026-01-31,2026-02-09,2026-02-07,1247,1247,Delivered
PO000134,SUP001,MediSupply Europe,P004,WH005,2026-06-16,2026-06-23,2026-06-21,364,327,Partially Delivered
PO000135,SUP003,BioHealth Distribution,P006,WH004,2025-10-27,2025-11-12,2025-11-12,2039,1937,Partially Delivered
PO000136,SUP005,Global Pharma Supply,P039,WH004,2025-10-01,2025-10-21,2025-10-20,4960,4712,Partially Delivered
PO000137,SUP006,HealthChain Partners,P018,WH004,2026-01-03,2026-01-21,2026-01-19,632,568,Partially Delivered
PO000138,SUP007,ColdMed Logistics,P039,WH006,2025-10-24,2025-11-10,2025-11-09,1570,1570,Delivered
PO000139,SUP007,ColdMed Logistics,P042,WH009,2026-05-07,2026-05-10,2026-05-10,2266,2266,Delivered
PO000140,SUP004,EuroMeds,P025,WH008,2025-08-19,2025-08-25,2025-08-23,3317,3317,Delivered
PO000141,SUP007,ColdMed Logistics,P017,WH007,2025-06-27,2025-07-14,2025-07-24,3294,3129,Partially Delivered
PO000142,SUP003,BioHealth Distribution,P033,WH008,2025-09-15,2025-10-04,2025-10-04,4236,3812,Partially Delivered
PO000143,SUP004,EuroMeds,P038,WH001,2025-09-08,2025-09-12,2025-09-10,2447,2447,Delivered
PO000144,SUP004,EuroMeds,P012,WH003,2025-08-06,2025-08-09,2025-08-15,2501,2501,Delivered
PO000145,SUP007,ColdMed Logistics,P017,WH009,2025-09-19,2025-10-04,2025-10-04,1672,1588,Partially Delivered
PO000146,SUP003,BioHealth Distribution,P025,WH002,2026-04-20,2026-05-08,2026-05-06,4254,4041,Partially Delivered
PO000147,SUP008,LifeCare Suppliers,P049,WH006,2025-10-26,2025-11-02,2025-10-31,4349,3914,Partially Delivered
PO000148,SUP003,BioHealth Distribution,P037,WH008,2025-11-11,2025-11-28,2025-11-28,1412,1341,Partially Delivered
PO000149,SUP004,EuroMeds,P017,WH003,2026-02-25,2026-03-06,2026-03-06,4892,4892,Delivered
PO000150,SUP002,PharmaLogistics,P027,WH002,2025-11-22,2025-12-06,2025-12-04,4615,4615,Delivered
PO000151,SUP007,ColdMed Logistics,P031,WH002,2026-02-06,2026-02-26,2026-02-24,1904,1904,Delivered
PO000152,SUP005,Global Pharma Supply,P014,WH006,2025-08-08,2025-08-24,2025-08-24,2254,2028,Partially Delivered
PO000153,SUP006,HealthChain Partners,P036,WH008,2025-08-29,2025-09-03,2025-09-02,2201,1980,Partially Delivered
PO000154,SUP002,PharmaLogistics,P022,WH006,2026-03-31,2026-04-17,2026-04-15,4933,4439,Partially Delivered
PO000155,SUP007,ColdMed Logistics,P005,WH009,2025-07-06,2025-07-20,2025-07-18,2394,2274,Partially Delivered
PO000156,SUP002,PharmaLogistics,P040,WH006,2026-05-18,2026-06-06,2026-06-06,1994,1994,Delivered
PO000157,SUP006,HealthChain Partners,P006,WH006,2025-11-12,2025-11-20,2025-11-19,320,288,Partially Delivered
PO000158,SUP007,ColdMed Logistics,P040,WH008,2026-04-16,2026-04-27,2026-05-03,4791,4791,Delivered
PO000159,SUP002,PharmaLogistics,P005,WH004,2025-12-07,2025-12-20,2025-12-20,4602,4371,Partially Delivered
PO000160,SUP004,EuroMeds,P024,WH008,2026-01-11,2026-01-26,2026-01-25,2595,2595,Delivered
PO000161,SUP002,PharmaLogistics,P022,WH008,2025-11-11,2025-11-14,2025-11-14,3640,3640,Delivered
PO000162,SUP004,EuroMeds,P014,WH002,2026-03-06,2026-03-14,2026-03-14,3980,3980,Delivered
PO000163,SUP005,Global Pharma Supply,P025,WH005,2025-08-01,2025-08-16,2025-08-14,582,582,Delivered
PO000164,SUP001,MediSupply Europe,P020,WH003,2025-09-16,2025-09-25,2025-10-03,4493,4268,Partially Delivered
PO000165,SUP004,EuroMeds,P001,WH003,2025-07-04,2025-07-10,2025-07-10,4094,3684,Partially Delivered
PO000166,SUP007,ColdMed Logistics,P049,WH006,2025-10-13,2025-10-20,2025-10-28,2933,2933,Delivered
PO000167,SUP004,EuroMeds,P035,WH003,2026-04-04,2026-04-08,2026-04-06,4728,4728,Delivered
PO000168,SUP008,LifeCare Suppliers,P037,WH008,2025-11-19,2025-11-25,2025-11-23,837,753,Partially Delivered
PO000169,SUP006,HealthChain Partners,P028,WH005,2025-12-23,2026-01-08,2026-01-08,4252,4039,Partially Delivered
PO000170,SUP007,ColdMed Logistics,P029,WH002,2026-04-09,2026-04-28,2026-04-26,902,902,Delivered
PO000171,SUP006,HealthChain Partners,P040,WH005,2025-07-09,2025-07-21,2025-07-21,1711,1711,Delivered
PO000172,SUP002,PharmaLogistics,P008,WH007,2025-07-10,2025-07-29,2025-07-27,2464,2217,Partially Delivered
PO000173,SUP002,PharmaLogistics,P018,WH009,2025-09-19,2025-10-01,2025-09-29,4647,4647,Delivered
PO000174,SUP006,HealthChain Partners,P031,WH001,2025-07-03,2025-07-16,2025-07-16,2759,2759,Delivered
PO000175,SUP003,BioHealth Distribution,P021,WH006,2026-04-02,2026-04-22,2026-04-27,230,230,Delivered
PO000176,SUP006,HealthChain Partners,P006,WH003,2025-07-30,2025-08-04,2025-08-03,548,548,Delivered
PO000177,SUP006,HealthChain Partners,P009,WH003,2026-02-18,2026-03-09,2026-03-07,868,824,Partially Delivered
PO000178,SUP006,HealthChain Partners,P030,WH009,2026-02-26,2026-03-13,2026-03-13,4379,3284,Partially Delivered
PO000179,SUP004,EuroMeds,P044,WH009,2026-04-26,2026-05-02,2026-04-30,3848,3848,Delivered
PO000180,SUP004,EuroMeds,P018,WH005,2025-09-02,2025-09-10,2025-09-09,4693,4693,Delivered
PO000181,SUP004,EuroMeds,P030,WH008,2025-09-06,2025-09-20,2025-09-19,1899,1804,Partially Delivered
PO000182,SUP008,LifeCare Suppliers,P020,WH007,2025-09-22,2025-10-07,2025-10-10,1802,1802,Delivered
PO000183,SUP006,HealthChain Partners,P010,WH001,2025-06-27,2025-06-30,2025-06-30,4115,4115,Delivered
PO000184,SUP008,LifeCare Suppliers,P013,WH004,2025-08-08,2025-08-28,2025-09-07,1420,1278,Partially Delivered
PO000185,SUP001,MediSupply Europe,P041,WH004,2026-04-28,2026-05-13,2026-05-13,4270,4270,Delivered
PO000186,SUP003,BioHealth Distribution,P002,WH005,2026-02-14,2026-03-06,2026-03-04,2094,2094,Delivered
PO000187,SUP002,PharmaLogistics,P005,WH010,2026-04-21,2026-05-08,2026-05-08,2764,2625,Partially Delivered
PO000188,SUP006,HealthChain Partners,P033,WH003,2026-01-22,2026-02-04,2026-02-07,1285,1285,Delivered
PO000189,SUP006,HealthChain Partners,P001,WH006,2026-03-06,2026-03-18,2026-03-17,445,445,Delivered
PO000190,SUP003,BioHealth Distribution,P037,WH006,2026-01-05,2026-01-17,2026-01-15,3409,3409,Delivered
PO000191,SUP007,ColdMed Logistics,P012,WH002,2025-11-03,2025-11-19,2025-11-28,4328,4328,Delivered
PO000192,SUP001,MediSupply Europe,P041,WH010,2026-02-02,2026-02-22,2026-02-22,4475,4475,Delivered
PO000193,SUP008,LifeCare Suppliers,P028,WH007,2025-12-20,2026-01-07,2026-01-07,1320,990,Partially Delivered
PO000194,SUP001,MediSupply Europe,P018,WH004,2026-06-24,2026-06-30,2026-06-30,4443,4220,Open
PO000195,SUP006,HealthChain Partners,P036,WH004,2025-07-27,2025-08-12,2025-08-12,1241,1241,Delivered
PO000196,SUP002,PharmaLogistics,P030,WH001,2025-11-14,2025-11-25,2025-11-24,3820,3820,Delivered
PO000197,SUP004,EuroMeds,P042,WH006,2025-10-30,2025-11-11,2025-11-10,1290,1290,Delivered
PO000198,SUP004,EuroMeds,P038,WH005,2026-03-14,2026-03-22,2026-03-20,3230,3230,Delivered
PO000199,SUP008,LifeCare Suppliers,P021,WH003,2025-10-06,2025-10-16,2025-10-16,3580,3580,Delivered
PO000200,SUP006,HealthChain Partners,P039,WH004,2026-03-16,2026-03-31,2026-03-30,1721,1721,Delivered
PO000201,SUP002,PharmaLogistics,P007,WH005,2025-10-14,2025-10-23,2025-10-21,4096,3686,Partially Delivered
PO000202,SUP002,PharmaLogistics,P005,WH007,2026-05-27,2026-06-08,2026-06-19,1100,1100,Delivered
PO000203,SUP008,LifeCare Suppliers,P035,WH006,2026-05-25,2026-06-08,2026-06-08,1973,1973,Delivered
PO000204,SUP002,PharmaLogistics,P015,WH007,2026-01-01,2026-01-17,2026-01-17,3778,3778,Delivered
PO000205,SUP006,HealthChain Partners,P009,WH009,2025-09-11,2025-09-22,2025-09-24,4365,4365,Delivered
PO000206,SUP004,EuroMeds,P048,WH006,2025-09-18,2025-10-01,2025-10-01,1527,1527,Delivered
PO000207,SUP005,Global Pharma Supply,P018,WH004,2026-05-07,2026-05-18,2026-05-16,4680,4680,Delivered
PO000208,SUP008,LifeCare Suppliers,P012,WH004,2026-06-26,2026-07-12,2026-07-22,994,994,Open
PO000209,SUP002,PharmaLogistics,P027,WH005,2025-10-02,2025-10-08,2025-10-07,837,837,Delivered
PO000210,SUP001,MediSupply Europe,P014,WH001,2025-11-10,2025-11-15,2025-11-15,3179,3179,Delivered
PO000211,SUP008,LifeCare Suppliers,P013,WH007,2025-09-04,2025-09-11,2025-09-10,3416,3074,Partially Delivered
PO000212,SUP004,EuroMeds,P030,WH004,2025-11-03,2025-11-15,2025-11-13,4467,4243,Partially Delivered
PO000213,SUP003,BioHealth Distribution,P036,WH001,2025-08-19,2025-08-31,2025-09-12,300,285,Partially Delivered
PO000214,SUP002,PharmaLogistics,P049,WH009,2025-07-11,2025-07-25,2025-07-23,1992,1992,Delivered
PO000215,SUP002,PharmaLogistics,P041,WH008,2026-01-21,2026-02-08,2026-02-08,3024,3024,Delivered
PO000216,SUP003,BioHealth Distribution,P009,WH009,2026-02-02,2026-02-09,2026-02-08,1663,1496,Partially Delivered
PO000217,SUP007,ColdMed Logistics,P034,WH008,2026-06-17,2026-06-27,2026-06-27,3796,3416,Open
PO000218,SUP007,ColdMed Logistics,P012,WH010,2025-10-12,2025-10-27,2025-10-27,3895,3895,Delivered
PO000219,SUP007,ColdMed Logistics,P050,WH004,2026-01-22,2026-02-01,2026-01-30,337,337,Delivered
PO000220,SUP003,BioHealth Distribution,P025,WH007,2026-05-19,2026-06-02,2026-05-31,1581,1581,Delivered
PO000221,SUP001,MediSupply Europe,P050,WH001,2025-11-14,2025-11-27,2025-11-27,4458,4458,Delivered
PO000222,SUP007,ColdMed Logistics,P022,WH005,2026-02-01,2026-02-19,2026-02-17,3857,3857,Delivered
PO000223,SUP008,LifeCare Suppliers,P005,WH010,2026-04-18,2026-05-07,2026-05-06,2164,2164,Delivered
PO000224,SUP007,ColdMed Logistics,P015,WH010,2025-09-12,2025-09-21,2025-09-20,3931,3931,Delivered
PO000225,SUP006,HealthChain Partners,P043,WH009,2025-07-21,2025-08-05,2025-08-05,4928,4928,Delivered
PO000226,SUP004,EuroMeds,P047,WH008,2026-04-23,2026-05-04,2026-05-13,2562,2562,Delivered
PO000227,SUP004,EuroMeds,P018,WH009,2026-04-11,2026-04-21,2026-05-04,3669,3485,Partially Delivered
PO000228,SUP004,EuroMeds,P013,WH002,2026-03-25,2026-03-29,2026-03-28,1362,1362,Delivered
PO000229,SUP001,MediSupply Europe,P015,WH006,2026-04-20,2026-05-07,2026-05-05,442,419,Partially Delivered
PO000230,SUP001,MediSupply Europe,P025,WH002,2026-02-13,2026-02-25,2026-02-26,4721,3540,Partially Delivered
PO000231,SUP007,ColdMed Logistics,P034,WH006,2026-03-11,2026-03-15,2026-03-20,2861,2861,Delivered
PO000232,SUP008,LifeCare Suppliers,P002,WH004,2026-02-22,2026-03-05,2026-03-15,3126,2969,Partially Delivered
PO000233,SUP005,Global Pharma Supply,P021,WH005,2026-05-06,2026-05-23,2026-05-22,3865,3671,Partially Delivered
PO000234,SUP008,LifeCare Suppliers,P023,WH005,2025-10-26,2025-11-13,2025-11-13,2085,1876,Partially Delivered
PO000235,SUP002,PharmaLogistics,P017,WH007,2025-10-25,2025-11-01,2025-11-01,3352,3352,Delivered
