sales_order_id,order_date,product_id,warehouse_id,customer_type,quantity_ordered,quantity_delivered,sales_amount
SO000045,2026-05-08,P037,WH001,Pharmacy,538,538,35981.44
SO000046,2025-07-03,P021,WH003,Pharmacy,201,201,18238.74
SO000047,2025-09-17,P024,WH001,Distributor,484,484,1902.12
SO000048,2025-11-30,P030,WH004,Hospital,576,576,17130.24
SO000049,2026-02-23,P016,WH006,Distributor,216,216,6149.52
SO000050,2025-07-20,P049,WH005,Pharmacy,270,270,8008.2
SO000051,2025-10-21,P041,WH009,Clinic,116,92,8655.36
SO000052,2025-09-16,P022,WH002,Pharmacy,342,342,29795.04
SO000053,2026-01-27,P002,WH002,Clinic,51,51,569.16
SO000054,2026-04-24,P019,WH003,Pharmacy,357,178,3360.64
SO000055,2025-10-29,P049,WH004,Pharmacy,140,140,4152.4
SO000056,2026-01-11,P037,WH009,Pharmacy,106,106,7089.28
SO000057,2025-10-30,P002,WH006,Hospital,514,488,5446.08
SO000058,2026-05-09,P011,WH009,Pharmacy,294,294,14403.06
SO000059,2025-12-22,P033,WH005,Distributor,471,471,14987.22
SO000060,2026-01-30,P009,WH009,Clinic,187,187,11384.56
SO000061,2025-12-20,P025,WH009,Clinic,226,214,18911.18
SO000062,2026-03-08,P006,WH001,Clinic,402,402,37185.0
SO000063,2025-10-05,P011,WH009,Clinic,21,21,1028.79
SO000064,2025-09-21,P027,WH007,Clinic,321,321,29506.32
SO000065,2025-11-02,P008,WH008,Distributor,526,526,44715.26
SO000066,2026-01-19,P045,WH003,Distributor,486,486,34515.72
SO000067,2026-04-28,P031,WH001,Pharmacy,186,186,7090.32
SO000068,2025-08-14,P027,WH004,Pharmacy,285,285,26197.2
SO000069,2026-04-13,P044,WH001,Hospital,294,294,24596.04
SO000070,2025-11-11,P041,WH001,Pharmacy,256,256,24084.48
SO000071,2026-01-24,P047,WH004,Pharmacy,220,209,14103.32
SO000072,2025-07-06,P005,WH008,Clinic,301,301,7546.07
SO000073,2025-08-21,P015,WH001,Hospital,106,106,7348.98
SO000074,2025-09-13,P002,WH010,Hospital,167,167,1863.72
SO000075,2025-10-29,P015,WH010,Distributor,198,198,13727.34
SO000076,2025-11-12,P031,WH009,Hospital,261,261,9949.32
SO000077,2026-01-09,P020,WH006,Pharmacy,360,360,32216.4
SO000078,2025-09-16,P003,WH005,Pharmacy,394,394,14384.94
SO000079,2025-07-16,P042,WH009,Pharmacy,476,452,6987.92
SO000080,2025-10-08,P039,WH009,Pharmacy,320,320,3676.8
SO000081,2025-09-10,P010,WH009,Pharmacy,119,119,9046.38
SO000082,2025-07-14,P026,WH003,Pharmacy,115,115,4842.65
SO000083,2025-06-28,P010,WH008,Clinic,552,552,41963.04
SO000084,2026-06-18,P040,WH010,Hospital,73,73,4335.47
SO000085,2025-07-13,P013,WH004,Hospital,285,270,12976.2
SO000086,2026-03-21,P021,WH004,Distributor,385,385,34934.9
SO000087,2026-06-15,P034,WH007,Pharmacy,294,294,5344.92
SO000088,2025-09-28,P044,WH008,Hospital,240,240,20078.4
SO000089,2026-04-17,P032,WH004,Pharmacy,192,182,14783.86
SO000090,2026-02-12,P009,WH010,Clinic,594,594,36162.72
SO000091,2025-10-11,P030,WH006,Pharmacy,554,554,16475.96
SO000092,2026-06-22,P001,WH001,Pharmacy,190,180,9912.6
SO000093,2025-10-31,P012,WH002,Pharmacy,275,275,15361.5
SO000094,2025-09-06,P044,WH005,Clinic,549,549,45929.34
SO000095,2025-07-27,P035,WH004,Pharmacy,362,362,19548.0
SO000096,2026-03-20,P024,WH003,Distributor,496,496,1949.28
SO000097,2026-01-27,P040,WH006,Pharmacy,502,401,23815.39
SO000098,2025-10-12,P045,WH010,Pharmacy,582,552,39203.04
SO000099,2025-07-06,P049,WH006,Pharmacy,229,229,6792.14
SO000100,2026-01-29,P010,WH010,Pharmacy,52,52,3953.04
SO000101,2026-02-05,P047,WH008,Hospital,554,554,37383.92
SO000102,2025-10-19,P024,WH002,Hospital,25,25,98.25
SO000103,2025-11-05,P041,WH007,Pharmacy,532,532,50050.56
SO000104,2026-02-15,P018,WH007,Pharmacy,117,117,7278.57
SO000105,2026-05-11,P008,WH002,Pharmacy,327,327,27798.27
SO000106,2026-03-25,P046,WH006,Pharmacy,521,521,34891.37
SO000107,2025-10-21,P043,WH005,Hospital,128,128,6457.6
SO000108,2025-07-06,P013,WH002,Hospital,10,10,480.6
SO000109,2026-06-07,P016,WH009,Pharmacy,322,322,9167.34
SO000110,2025-12-29,P014,WH008,Clinic,82,65,1336.4
SO000111,2025-09-28,P009,WH007,Hospital,337,320,19481.6
SO000112,2026-02-11,P009,WH006,Pharmacy,516,516,31414.08
SO000113,2025-11-02,P005,WH005,Hospital,221,176,4412.32
SO000114,2025-12-19,P047,WH009,Distributor,156,148,9987.04
SO000115,2025-11-27,P011,WH005,Pharmacy,128,128,6270.72
SO000116,2026-04-24,P019,WH006,Clinic,296,236,4455.68
SO000117,2025-07-02,P038,WH003,Hospital,31,31,1712.13
SO000118,2026-01-14,P010,WH009,Hospital,130,65,4941.3
SO000119,2026-05-20,P016,WH008,Hospital,85,85,2419.95
SO000120,2025-11-24,P029,WH009,Hospital,92,92,7488.8
SO000121,2026-06-08,P005,WH001,Pharmacy,366,366,9175.62
SO000122,2025-10-16,P018,WH001,Distributor,587,587,36517.27
SO000123,2026-04-14,P042,WH002,Hospital,269,255,3942.3
SO000124,2026-02-06,P042,WH004,Hospital,160,160,2473.6
SO000125,2026-06-10,P044,WH010,Pharmacy,528,501,41913.66
SO000126,2026-03-24,P035,WH005,Hospital,597,597,32238.0
SO000127,2025-11-05,P036,WH007,Clinic,114,114,10156.26
SO000128,2025-08-30,P022,WH004,Pharmacy,212,212,18469.44
SO000129,2026-03-31,P024,WH001,Clinic,567,538,2114.34
SO000130,2025-09-02,P012,WH008,Pharmacy,215,215,12009.9
SO000131,2026-05-07,P039,WH003,Hospital,204,204,2343.96
SO000132,2025-10-25,P012,WH009,Pharmacy,332,332,18545.52
SO000133,2026-03-06,P035,WH002,Hospital,225,225,12150.0
SO000134,2026-06-19,P050,WH001,Pharmacy,41,38,2940.06
SO000135,2026-05-21,P019,WH010,Hospital,463,463,8741.44
SO000136,2026-05-11,P037,WH008,Clinic,79,79,5283.52
SO000137,2026-03-19,P014,WH003,Hospital,589,589,12109.84
SO000138,2025-07-17,P023,WH001,Pharmacy,77,73,2682.02
SO000139,2026-01-05,P040,WH003,Pharmacy,150,150,8908.5
SO000140,2025-10-29,P022,WH008,Hospital,244,244,21257.28
SO000141,2025-12-18,P047,WH004,Pharmacy,364,364,24562.72
SO000142,2025-07-20,P048,WH010,Pharmacy,501,250,8937.5
SO000143,2025-11-05,P050,WH007,Pharmacy,33,33,2553.21
SO000144,2025-09-19,P011,WH008,Pharmacy,49,49,2400.51
SO000145,2025-11-04,P002,WH007,Pharmacy,322,322,3593.52
SO000146,2026-02-21,P010,WH001,Hospital,375,375,28507.5
SO000147,2025-12-31,P043,WH004,Pharmacy,239,239,12057.55
SO000148,2026-01-05,P005,WH010,Pharmacy,328,328,8222.96
SO000149,2026-02-27,P030,WH009,Hospital,509,509,15137.66
SO000150,2026-05-28,P021,WH007,Pharmacy,156,156,14155.44
SO000151,2026-05-10,P049,WH001,Pharmacy,464,464,13762.24
SO000152,2025-12-30,P033,WH008,Hospital,295,295,9386.9
SO000153,2026-03-25,P025,WH004,Hospital,209,209,18469.33
SO000154,2026-05-03,P046,WH007,Pharmacy,257,257,17211.29
SO000155,2025-11-03,P047,WH006,Hospital,504,504,34009.92
SO000156,2025-08-29,P007,WH007,Distributor,233,233,9054.38
SO000157,2025-09-13,P040,WH010,Distributor,247,247,14669.33
SO000158,2025-07-14,P028,WH010,Hospital,497,497,45540.11
SO000159,2026-04-14,P016,WH001,Pharmacy,237,237,6747.39
SO000160,2025-08-19,P045,WH006,hospital,568,568,40339.36
SO000161,2026-02-25,P037,WH003,Pharmacy,484,484,32369.92
SO000162,2026-05-01,P003,WH010,Pharmacy,361,361,13180.11
SO000163,2025-09-27,P045,WH004,Distributor,62,62,4403.24
SO000164,2026-02-08,P019,WH001,Hospital,466,466,8798.08
SO000165,2025-12-10,P012,WH010,Hospital,315,315,17595.9
SO000166,2025-11-30,P019,WH008,Pharmacy,269,269,5078.72
SO000167,2025-09-27,P049,WH002,Pharmacy,506,506,15007.96
SO000168,2025-07-01,P011,WH003,Distributor,33,33,1616.67
SO000169,2026-02-09,P003,WH007,Pharmacy,248,235,8579.85
SO000170,2026-02-13,P002,WH002,Pharmacy,168,168,1874.88
SO000171,2025-07-25,P046,WH004,Hospital,353,353,23640.41
SO000172,2026-06-11,P026,WH007,Hospital,385,308,12969.88
SO000173,2026-03-16,P022,WH003,Pharmacy,97,92,8015.04
SO000174,2025-10-27,P017,WH002,Hospital,260,247,1173.25
SO000175,2026-03-29,P034,WH008,Pharmacy,97,97,1763.46
SO000176,2026-06-23,P050,WH002,Hospital,365,365,28240.05
SO000177,2026-04-26,P015,WH010,Pharmacy,169,169,11716.77
SO000178,2025-11-27,P012,WH007,Hospital,88,88,4915.68
SO000179,2025-10-22,P016,WH003,Pharmacy,479,479,13637.13
SO000180,2025-12-17,P016,WH004,Clinic,324,324,9224.28
SO000181,2026-05-02,P039,WH006,Hospital,491,466,5354.34
SO000182,2025-09-11,P006,WH003,Distributor,533,533,49302.5
SO000183,2026-05-27,P046,WH001,Hospital,432,432,28931.04
SO000184,2026-06-26,P008,WH008,Pharmacy,463,463,39359.63
SO000185,2025-12-11,P025,WH004,Hospital,162,153,13520.61
SO000186,2026-05-13,P019,WH001,Hospital,256,256,4833.28
SO000187,2026-05-11,P019,WH002,Pharmacy,322,322,6079.36
SO000188,2025-11-17,P012,WH006,hospital,291,291,16255.26
SO000189,2025-09-14,P009,WH001,Pharmacy,205,164,9984.32
SO000190,2026-04-07,P041,WH009,Clinic,38,36,3386.88
SO000191,2025-09-20,P029,WH007,Distributor,88,88,7163.2
SO000192,2025-09-13,P027,WH008,Pharmacy,192,182,16729.44
SO000193,2025-09-16,P005,WH008,Clinic,362,362,9075.34
SO000194,2025-12-20,P026,WH006,Pharmacy,561,561,23623.71
SO000195,2026-05-19,P030,WH008,Pharmacy,526,526,15643.24
SO000196,2026-04-05,P014,WH007,Hospital,509,509,10465.04
SO000197,2025-08-04,P033,WH001,Pharmacy,46,23,731.86
SO000198,2026-01-02,P035,WH003,Hospital,83,83,4482.0
SO000199,2026-06-18,P011,WH009,Hospital,130,130,6368.7
SO000200,2025-09-22,P004,WH008,Pharmacy,552,552,14920.56
SO000201,2025-10-12,P033,WH005,Pharmacy,23,23,731.86
SO000202,2025-07-15,P006,WH001,Pharmacy,299,299,27657.5
SO000203,2025-09-28,P028,WH002,Distributor,574,545,49938.35
SO000204,2025-10-09,P010,WH010,Hospital,348,330,25086.6
SO000205,2025-12-29,P036,WH010,Clinic,542,542,48286.78
SO000206,2026-01-24,P049,WH009,Hospital,417,396,11745.36
SO000207,2026-06-12,P026,WH010,Pharmacy,238,238,10022.18
SO000208,2026-04-21,P030,WH008,Hospital,237,237,7048.38
SO000209,2025-08-02,P022,WH009,Hospital,168,168,14636.16
SO000210,2025-12-22,P005,WH002,Pharmacy,59,59,1479.13
SO000211,2025-07-14,P002,WH003,Pharmacy,187,187,2086.92
SO000212,2026-04-25,P033,WH003,Hospital,308,308,9800.56
SO000213,2025-07-06,P016,WH001,Hospital,538,511,14548.17
SO000214,2025-09-19,P007,WH002,Pharmacy,199,199,7733.14
SO000215,2026-05-17,P021,WH010,Clinic,561,561,50905.14
SO000216,2026-05-30,P035,WH005,Hospital,46,46,2484.0
SO000217,2025-09-23,P046,WH007,Hospital,86,43,2879.71
SO000218,2025-11-18,P022,WH006,hospital,472,448,39029.76
SO000219,2025-11-22,P048,WH002,Pharmacy,547,547,19555.25
SO000220,2025-11-17,P022,WH008,Distributor,452,452,39378.24
SO000221,2026-04-27,P006,WH004,Pharmacy,486,486,44955.0
SO000222,2026-03-16,P033,WH002,Pharmacy,325,308,9800.56
SO000223,2025-12-24,P039,WH004,Clinic,133,106,1217.94
SO000224,2026-01-31,P043,WH008,Pharmacy,444,355,17909.75
SO000225,2026-04-13,P025,WH001,Clinic,329,312,27571.44
SO000226,2026-06-26,P018,WH009,Pharmacy,491,491,30545.11
SO000227,2025-06-27,P041,WH008,Hospital,390,390,36691.2
SO000228,2025-07-29,P035,WH008,Pharmacy,201,201,10854.0
SO000229,2026-01-16,P024,WH010,Hospital,155,147,577.71
SO000230,2026-06-10,P040,WH009,Pharmacy,489,489,29041.71
SO000231,2025-10-27,P040,WH007,Clinic,488,244,14491.16
SO000232,2026-06-08,P023,WH009,Pharmacy,137,137,5033.38
SO000233,2025-08-01,P033,WH001,Hospital,219,219,6968.58
SO000234,2026-04-29,P029,WH001,Pharmacy,25,20,1628.0
SO000235,2025-12-08,P010,WH004,Distributor,454,454,34513.08
SO000236,2026-03-04,P015,WH002,Clinic,340,340,23572.2
SO000237,2025-12-06,P010,WH008,Pharmacy,201,100,7602.0
SO000238,2025-09-06,P026,WH001,Distributor,295,295,12422.45
SO000239,2026-05-27,P040,WH004,Distributor,596,596,35396.44
SO000240,2025-12-15,P029,WH009,Hospital,501,400,32560.0
SO000241,2026-03-13,P034,WH002,Pharmacy,79,79,1436.22
SO000242,2025-08-25,P018,WH006,Hospital,31,31,1928.51
SO000243,2026-02-21,P002,WH004,Pharmacy,407,407,4542.12
SO000244,2026-03-16,P025,WH004,Pharmacy,309,309,27306.33
SO000245,2026-01-15,P021,WH006,Distributor,72,72,6533.28
SO000246,2025-08-16,P031,WH010,Pharmacy,384,384,14638.08
SO000247,2026-02-26,P022,WH004,Clinic,29,29,2526.48
SO000248,2025-10-30,P009,WH009,Distributor,459,459,27943.92
SO000249,2026-03-24,P027,WH008,Clinic,354,354,32539.68
SO000250,2025-12-01,P025,WH008,Hospital,431,431,38087.47
SO000251,2026-01-29,P025,WH005,Hospital,280,280,24743.6
SO000252,2025-07-12,P027,WH006,Clinic,20,20,1838.4
SO000253,2025-08-23,P010,WH001,Pharmacy,504,504,38314.08
SO000254,2025-12-16,P030,WH001,Hospital,444,444,13204.56
SO000255,2026-02-05,P004,WH009,Hospital,42,21,567.63
SO000256,2025-09-28,P021,WH004,Pharmacy,390,390,35388.6
SO000257,2025-08-20,P030,WH003,Clinic,173,173,5145.02
SO000258,2025-12-08,P033,WH005,Pharmacy,367,367,11677.94
SO000259,2026-01-16,P043,WH009,Clinic,512,409,20634.05
SO000260,2026-03-10,P026,WH009,Hospital,340,323,13601.53
SO000261,2025-07-12,P002,WH003,Hospital,329,329,3671.64
SO000262,2025-10-07,P023,WH007,Hospital,210,210,7715.4
SO000263,2025-11-29,P031,WH003,Pharmacy,596,596,22719.52
SO000264,2026-01-29,P004,WH003,Hospital,498,498,13460.94
SO000265,2025-10-14,P047,WH004,Hospital,42,42,2834.16
SO000266,2025-12-10,P020,WH002,Pharmacy,404,404,36153.96
SO000267,2025-07-25,P025,WH006,hospital,327,327,28896.99
SO000268,2025-12-23,P045,WH005,Clinic,103,103,7315.06
SO000269,2025-07-18,P001,WH010,Hospital,326,326,17952.82
SO000270,2026-01-13,P002,WH010,Hospital,345,345,3850.2
SO000271,2026-03-11,P006,WH002,Pharmacy,449,449,41532.5
SO000272,2026-04-05,P007,WH010,Hospital,33,33,1282.38
SO000273,2025-08-30,P004,WH002,Clinic,271,257,6946.71
SO000274,2026-04-08,P018,WH002,Pharmacy,85,68,4230.28
SO000275,2025-10-17,P041,WH004,Pharmacy,291,232,21826.56
SO000276,2026-06-02,P043,WH003,Pharmacy,254,203,10241.35
SO000277,2025-09-17,P005,WH009,Hospital,191,181,4537.67
SO000278,2026-05-07,P025,WH005,Hospital,349,349,30841.13
SO000279,2026-03-11,P001,WH001,Pharmacy,277,277,15254.39
SO000280,2025-11-01,P034,WH002,hospital,489,489,8890.02
SO000281,2025-08-15,P003,WH007,Hospital,517,517,18875.67
SO000282,2025-08-03,P017,WH008,Pharmacy,261,247,1173.25
SO000283,2025-12-23,P032,WH006,Pharmacy,215,215,17464.45
SO000284,2026-04-08,P024,WH007,Hospital,525,525,2063.25
SO000285,2025-08-03,P002,WH002,Hospital,38,38,424.08
SO000286,2026-03-23,P001,WH006,Hospital,143,143,7875.01
SO000287,2026-01-28,P034,WH006,Hospital,56,56,1018.08
SO000288,2025-07-10,P008,WH004,Hospital,576,576,48965.76
SO000289,2025-06-27,P045,WH004,Clinic,448,448,31816.96
SO000290,2026-06-21,P046,WH002,Clinic,255,255,17077.35
SO000291,2026-06-05,P044,WH003,Clinic,418,397,33213.02
SO000292,2025-11-19,P009,WH010,Hospital,145,116,7062.08
SO000293,2025-07-03,P028,WH006,Distributor,514,514,47097.82
SO000294,2026-06-15,P019,WH004,Pharmacy,394,394,7438.72
SO000295,2025-09-17,P020,WH003,Pharmacy,463,463,41433.87
SO000296,2025-12-17,P007,WH001,Clinic,367,367,14261.62
SO000297,2025-11-14,P042,WH003,Clinic,402,402,6214.92
SO000298,2025-07-26,P035,WH001,Clinic,107,107,5778.0
SO000299,2026-01-11,P019,WH004,Clinic,58,55,1038.4
SO000300,2025-08-15,P017,WH004,Pharmacy,70,70,332.5
SO000301,2026-03-03,P040,WH001,Distributor,252,252,14966.28
SO000302,2025-08-05,P018,WH007,Pharmacy,381,381,23702.01
SO000303,2026-01-30,P007,WH005,Distributor,436,436,16942.96
SO000304,2026-05-22,P027,WH001,Hospital,182,182,16729.44
SO000305,2025-10-25,P039,WH005,Pharmacy,345,345,3964.05
SO000306,2025-08-23,P030,WH007,Hospital,562,533,15851.42
SO000307,2026-02-17,P023,WH006,Pharmacy,156,148,5437.52
SO000308,2025-10-30,P020,WH010,Pharmacy,309,293,26220.57
SO000309,2025-07-18,P023,WH005,Pharmacy,35,35,1285.9
SO000310,2025-08-27,P026,WH008,Pharmacy,558,446,18781.06
SO000311,2026-03-14,P048,WH009,Clinic,215,215,7686.25
SO000312,2026-01-11,P047,WH001,Hospital,161,152,10256.96
SO000313,2026-05-16,P014,WH006,Distributor,471,471,9683.76
SO000314,2025-10-16,P048,WH002,Pharmacy,466,442,15801.5
SO000315,2025-07-12,P031,WH008,Clinic,177,177,6747.24
SO000316,2025-08-30,P027,WH005,Distributor,385,385,35389.2
SO000317,2025-12-04,P009,WH001,Pharmacy,212,212,12906.56
SO000318,2025-12-14,P023,WH005,Pharmacy,188,188,6907.12
SO000319,2026-01-07,P010,WH010,Pharmacy,447,424,32232.48
SO000320,2025-10-20,P047,WH005,Clinic,226,214,14440.72
SO000321,2026-03-15,P023,WH002,Clinic,168,168,6172.32
SO000322,2025-06-29,P010,WH004,Pharmacy,514,514,39074.28
SO000323,2026-05-19,P002,WH006,Pharmacy,366,366,4084.56
SO000324,2025-11-03,P037,WH001,Clinic,79,79,5283.52
SO000325,2026-02-13,P040,WH009,hospital,308,308,18292.12
SO000326,2025-10-18,P038,WH007,Pharmacy,132,132,7290.36
SO000327,2026-01-08,P038,WH006,Clinic,276,276,15243.48
SO000328,2025-09-17,P001,WH001,Distributor,433,433,23845.31
SO000329,2025-12-02,P048,WH008,Pharmacy,586,586,20949.5
SO000330,2026-02-04,P018,WH008,Pharmacy,195,195,12130.95
SO000331,2026-06-08,P035,WH004,Clinic,164,164,8856.0
SO000332,2025-12-19,P007,WH004,Hospital,178,178,6917.08
SO000333,2026-04-24,P044,WH001,Distributor,349,349,29197.34
SO000334,2025-11-09,P042,WH009,Distributor,428,342,5287.32
SO000335,2025-08-24,P022,WH008,Pharmacy,232,116,10105.92
SO000336,2026-01-03,P025,WH010,Hospital,523,496,43831.52
SO000337,2025-08-18,P042,WH007,Hospital,475,380,5874.8
SO000338,2026-06-07,P023,WH002,Pharmacy,98,98,3600.52
SO000339,2025-09-24,P009,WH007,Pharmacy,22,22,1339.36
SO000340,2025-07-24,P027,WH004,Hospital,45,36,3309.12
SO000341,2025-11-13,P011,WH003,Pharmacy,247,247,12100.53
SO000342,2025-11-08,P027,WH010,Hospital,435,348,31988.16
SO000343,2026-03-18,P040,WH004,Pharmacy,223,223,13243.97
SO000344,2025-11-12,P028,WH010,Hospital,24,12,1099.56
SO000345,2025-09-06,P018,WH006,Pharmacy,144,144,8958.24
SO000346,2026-05-20,P036,WH007,Clinic,436,436,38843.24
SO000347,2026-04-23,P034,WH002,Pharmacy,547,547,9944.46
SO000348,2026-04-12,P013,WH007,Clinic,566,566,27201.96
SO000349,2025-12-17,P046,WH010,Pharmacy,549,549,36766.53
SO000350,2026-02-24,P030,WH002,Hospital,54,54,1605.96
SO000351,2026-02-22,P028,WH002,Pharmacy,530,424,38851.12
SO000352,2026-05-31,P022,WH001,Clinic,80,80,6969.6
SO000353,2026-03-16,P024,WH007,Clinic,305,305,1198.65
SO000354,2025-09-24,P047,WH001,Clinic,262,248,16735.04
SO000355,2026-04-28,P030,WH003,Hospital,205,194,5769.56
SO000356,2026-01-10,P045,WH008,Pharmacy,195,195,13848.9
SO000357,2026-04-05,P038,WH001,Hospital,507,405,22368.15
SO000358,2026-06-21,P020,WH006,Distributor,156,156,13960.44
SO000359,2026-01-14,P006,WH002,Hospital,129,103,9527.5
SO000360,2025-12-07,P033,WH009,Distributor,185,185,5886.7
SO000361,2026-01-01,P047,WH002,Pharmacy,515,489,32997.72
SO000362,2025-07-22,P038,WH006,Clinic,37,37,2043.51
SO000363,2026-01-22,P015,WH004,Hospital,437,415,28771.95
SO000364,2025-09-22,P015,WH009,Clinic,31,31,2149.23
SO000365,2025-07-22,P032,WH001,Hospital,95,90,7310.7
SO000366,2025-08-28,P014,WH001,Hospital,491,491,10094.96
SO000367,2026-03-17,P042,WH010,Hospital,177,141,2179.86
SO000368,2026-04-08,P008,WH003,Distributor,309,309,26268.09
SO000369,2025-12-15,P036,WH006,Pharmacy,505,505,44990.45
SO000370,2025-09-19,P022,WH003,Distributor,40,40,3484.8
SO000371,2026-03-28,P038,WH007,Pharmacy,100,100,5523.0
SO000372,2026-04-21,P020,WH009,Pharmacy,270,270,24162.3
SO000373,2025-11-24,P024,WH010,Hospital,499,499,1961.07
SO000374,2026-02-02,P021,WH002,hospital,422,422,38292.28
SO000375,2026-05-18,P028,WH004,Pharmacy,206,206,18875.78
SO000376,2025-11-27,P049,WH003,Hospital,136,136,4033.76
SO000377,2025-09-14,P023,WH006,Hospital,102,102,3747.48
SO000378,2026-04-29,P024,WH005,Pharmacy,279,279,1096.47
SO000379,2026-05-30,P039,WH003,Pharmacy,452,361,4147.89
SO000380,2026-05-11,P044,WH009,Pharmacy,574,574,48020.84
SO000381,2025-11-02,P023,WH008,Hospital,238,238,8744.12
SO000382,2026-03-02,P004,WH003,Hospital,425,425,11487.75
SO000383,2026-01-27,P046,WH010,Pharmacy,314,314,21028.58
SO000384,2026-04-05,P004,WH005,Distributor,175,166,4486.98
SO000385,2026-05-01,P030,WH005,Clinic,102,102,3033.48
SO000386,2025-11-22,P048,WH005,Hospital,521,494,17660.5
SO000387,2025-11-19,P028,WH008,Hospital,394,374,34269.62
SO000388,2025-09-15,P031,WH003,Pharmacy,118,118,4498.16
SO000389,2025-10-28,P033,WH003,Hospital,476,380,12091.6
SO000390,2025-08-11,P050,WH008,Distributor,215,204,15783.48
SO000391,2026-03-20,P019,WH009,Clinic,288,288,5437.44
SO000392,2025-10-28,P010,WH005,Pharmacy,163,154,11707.08
SO000393,2025-12-06,P025,WH010,Pharmacy,347,347,30664.39
SO000394,2026-05-21,P037,WH008,Distributor,472,448,29962.24
SO000395,2025-10-24,P013,WH005,Pharmacy,237,237,11390.22
SO000396,2026-02-19,P006,WH004,Hospital,584,584,54020.0
SO000397,2026-02-12,P030,WH002,Pharmacy,349,349,10379.26
SO000398,2025-07-16,P023,WH004,Clinic,507,507,18627.18
SO000399,2025-07-19,P036,WH002,Pharmacy,195,195,17372.55
SO000400,2026-04-24,P016,WH007,Hospital,122,122,3473.34
SO000401,2025-09-26,P008,WH007,Pharmacy,595,476,40464.76
SO000402,2026-05-29,P016,WH009,Pharmacy,496,396,11274.12
SO000403,2025-11-13,P011,WH004,Hospital,500,500,24495.0
SO000404,2026-04-28,P001,WH005,Pharmacy,126,126,6938.82
SO000405,2026-05-04,P022,WH004,Pharmacy,108,108,9408.96
SO000406,2025-08-03,P018,WH004,Pharmacy,306,306,19036.26
SO000407,2026-01-29,P036,WH005,Pharmacy,159,159,14165.31
SO000408,2026-04-30,P011,WH003,Distributor,40,40,1959.6
SO000409,2026-05-22,P020,WH009,Hospital,166,166,14855.34
SO000410,2026-02-02,P010,WH007,Clinic,434,434,32992.68
SO000411,2025-10-20,P048,WH001,Pharmacy,537,510,18232.5
