alert_id,created_at,product_id,product_name,warehouse_id,warehouse_name,supplier_id,supplier_name,alert_type,severity,quantity_on_hand,reorder_threshold,days_to_expiry,status
ALT000032,2026-06-26,P001,Doliprane,WH009,Brussels Distribution Center,SUP003,BioHealth Distribution,Low Stock,High,9,178,895,Open
ALT000033,2026-06-26,P021,Tramadol,WH004,Munich Distribution Center,SUP007,ColdMed Logistics,Low Stock,High,6,177,248,Open
ALT000034,2026-06-26,P028,Omeprazole,WH006,Barcelona Distribution Center,SUP008,LifeCare Suppliers,Low Stock,Medium,140,232,364,Open
ALT000035,2026-06-26,P005,Augmentin,WH001,Paris Distribution Center,SUP003,BioHealth Distribution,Low Stock,Medium,89,92,664,Open
ALT000036,2026-06-26,P037,Atorvastatine,WH009,Brussels Distribution Center,SUP003,BioHealth Distribution,Low Stock,High,26,128,322,Open
ALT000037,2026-06-26,P010,Aerius,WH009,Brussels Distribution Center,SUP007,ColdMed Logistics,Low Stock,High,31,252,335,Open
ALT000038,2026-06-26,P009,Kardegic,WH007,Milan Distribution Center,SUP002,PharmaLogistics,Low Stock,High,9,115,303,Open
ALT000039,2026-06-26,P046,Humalog,WH004,Munich Distribution Center,SUP001,MediSupply Europe,Low Stock,Medium,91,132,696,Open
ALT000040,2026-06-26,P001,Doliprane,WH002,Lyon Distribution Center,SUP003,BioHealth Distribution,Low Stock,Medium,129,178,549,Open
ALT000041,2026-06-26,P004,Paracetamol,WH006,Barcelona Distribution Center,SUP003,BioHealth Distribution,Low Stock,High,10,231,307,Open
ALT000042,2026-06-26,P040,Salbutamol,WH003,Berlin Distribution Center,SUP002,PharmaLogistics,Low Stock,Medium,85,149,657,Open
ALT000043,2026-06-26,P008,Spasfon,WH004,Munich Distribution Center,SUP005,Global Pharma Supply,Low Stock,High,47,136,804,Open
ALT000044,2026-06-26,P039,Bisoprolol,WH001,Paris Distribution Center,SUP005,Global Pharma Supply,Low Stock,Medium,79,249,829,Open
ALT000045,2026-06-26,P044,Eliquis,WH005,Madrid Distribution Center,SUP007,ColdMed Logistics,Low Stock,Medium,166,180,337,Open
ALT000046,2026-06-26,P014,Lovenox,WH008,Rome Distribution Center,SUP007,ColdMed Logistics,Low Stock,Medium,89,223,250,Open
ALT000047,2026-06-26,P011,Dafalgan,WH010,Amsterdam Distribution Center,SUP002,PharmaLogistics,Low Stock,High,14,99,697,Open
ALT000048,2026-06-26,P039,Bisoprolol,WH009,Brussels Distribution Center,SUP005,Global Pharma Supply,Low Stock,High,32,249,297,Open
ALT000049,2026-06-26,P050,Nurofen,WH008,Rome Distribution Center,SUP002,PharmaLogistics,Low Stock,High,11,182,417,Open
ALT000050,2026-06-26,P030,Furosemide,WH004,Munich Distribution Center,SUP003,BioHealth Distribution,Low Stock,Medium,57,142,756,Open
ALT000051,2026-06-26,P027,Ramipril,WH001,Paris Distribution Center,SUP004,EuroMeds,Low Stock,Medium,90,130,328,Open
ALT000052,2026-06-26,P033,Fluconazole,WH008,Rome Distribution Center,SUP003,BioHealth Distribution,Low Stock,High,46,229,732,Open
ALT000053,2026-06-26,P030,Furosemide,WH001,Paris Distribution Center,SUP003,BioHealth Distribution,Low Stock,High,44,142,665,Open
ALT000054,2026-06-26,P017,Levothyrox,WH010,Amsterdam Distribution Center,SUP004,EuroMeds,Low Stock,Medium,88,194,788,Open
ALT000055,2026-06-26,P004,Paracetamol,WH005,Madrid Distribution Center,SUP003,BioHealth Distribution,Low Stock,High,27,231,95,Open
ALT000056,2026-06-26,P017,Levothyrox,WH006,Barcelona Distribution Center,SUP004,EuroMeds,Low Stock,High,29,194,893,Open
ALT000057,2026-06-26,P023,Azithromycine,WH001,Paris Distribution Center,SUP006,HealthChain Partners,Low Stock,Medium,50,111,16,Open
ALT000058,2026-06-26,P025,Insuline,WH007,Milan Distribution Center,SUP005,Global Pharma Supply,Low Stock,High,19,270,101,Open
ALT000059,2026-06-26,P032,Cetirizine,WH002,Lyon Distribution Center,SUP001,MediSupply Europe,Low Stock,High,33,204,501,Open
ALT000060,2026-06-26,P027,Ramipril,WH005,Madrid Distribution Center,SUP004,EuroMeds,Low Stock,High,32,130,296,Open
ALT000061,2026-06-26,P029,Prednisone,WH010,Amsterdam Distribution Center,SUP006,HealthChain Partners,Low Stock,Medium,81,265,205,Open
ALT000062,2026-06-26,P005,Augmentin,WH002,Lyon Distribution Center,SUP003,BioHealth Distribution,Low Stock,High,11,92,109,Open
ALT000063,2026-06-26,P018,Zyrtec,WH004,Munich Distribution Center,SUP002,PharmaLogistics,Low Stock,Medium,54,294,403,Open
ALT000064,2026-06-26,P042,Flagyl,WH009,Brussels Distribution Center,SUP007,ColdMed Logistics,Low Stock,High,34,133,647,Open
ALT000065,2026-06-26,P021,Tramadol,WH007,Milan Distribution Center,SUP007,ColdMed Logistics,Low Stock,High,40,177,535,Open
ALT000066,2026-06-26,P001,Doliprane,WH003,Berlin Distribution Center,SUP003,BioHealth Distribution,Low Stock,Medium,87,178,33,Open
ALT000067,2026-06-26,P026,Amlodipine,WH004,Munich Distribution Center,SUP003,BioHealth Distribution,Low Stock,Critical,33,165,602,Open
ALT000068,2026-06-26,P046,Humalog,WH004,Munich Distribution Center,SUP001,MediSupply Europe,Low Stock,Medium,70,132,134,Open
ALT000069,2026-06-26,P034,Ketoprofene,WH003,Berlin Distribution Center,SUP005,Global Pharma Supply,Low Stock,High,45,137,455,Open
ALT000070,2026-06-26,P026,Amlodipine,WH008,Rome Distribution Center,SUP003,BioHealth Distribution,Low Stock,Critical,41,165,313,Open
ALT000071,2026-06-26,P045,Xarelto,WH001,Paris Distribution Center,SUP003,BioHealth Distribution,Low Stock,High,43,87,476,Open
ALT000072,2026-06-26,P027,Ramipril,WH007,Milan Distribution Center,SUP004,EuroMeds,Low Stock,High,17,130,355,Open
ALT000073,2026-06-26,P047,Lantus,WH003,Berlin Distribution Center,SUP007,ColdMed Logistics,Low Stock,Medium,75,139,586,Open
ALT000074,2026-06-26,P030,Furosemide,WH010,Amsterdam Distribution Center,SUP003,BioHealth Distribution,Low Stock,Medium,55,142,477,Open
ALT000075,2026-06-26,P048,Inexium,WH004,Munich Distribution Center,SUP007,ColdMed Logistics,Low Stock,High,36,187,657,Open
ALT000076,2026-06-26,P026,Amlodipine,WH004,Munich Distribution Center,SUP003,BioHealth Distribution,Low Stock,Critical,55,165,162,Open
ALT000077,2026-06-26,P001,Doliprane,WH002,Lyon Distribution Center,SUP003,BioHealth Distribution,Low Stock,Medium,51,178,89,Open
ALT000078,2026-06-26,P014,Lovenox,WH003,Berlin Distribution Center,SUP007,ColdMed Logistics,Low Stock,High,10,223,882,Open
ALT000079,2026-06-26,P024,Metformine,WH007,Milan Distribution Center,SUP008,LifeCare Suppliers,Low Stock,High,49,294,112,Open
ALT000080,2026-06-26,P007,Efferalgan,WH006,Barcelona Distribution Center,SUP003,BioHealth Distribution,Low Stock,Critical,157,214,461,Open
ALT000081,2026-06-26,P015,Plavix,WH010,Amsterdam Distribution Center,SUP001,MediSupply Europe,Low Stock,Critical,76,221,703,Open
ALT000082,2026-06-26,P025,Insuline,WH004,Munich Distribution Center,SUP005,Global Pharma Supply,Low Stock,High,16,270,717,Open
ALT000083,2026-06-26,P037,Atorvastatine,WH007,Milan Distribution Center,SUP003,BioHealth Distribution,Low Stock,Medium,94,128,303,Open
ALT000084,2026-06-26,P039,Bisoprolol,WH002,Lyon Distribution Center,SUP005,Global Pharma Supply,Low Stock,Medium,92,249,117,Open
ALT000085,2026-06-26,P039,Bisoprolol,WH010,Amsterdam Distribution Center,SUP005,Global Pharma Supply,Low Stock,High,14,249,528,Open
ALT000086,2026-06-26,P004,Paracetamol,WH001,Paris Distribution Center,SUP003,BioHealth Distribution,Low Stock,Medium,158,231,569,Open
ALT000087,2026-06-26,P022,Cefixime,WH006,Barcelona Distribution Center,SUP007,ColdMed Logistics,Low Stock,High,42,145,606,Open
ALT000088,2026-06-26,P019,Mopral,WH010,Amsterdam Distribution Center,SUP001,MediSupply Europe,Low Stock,Medium,84,222,798,Open
ALT000089,2026-06-26,P034,Ketoprofene,WH001,Paris Distribution Center,SUP005,Global Pharma Supply,Low Stock,High,20,137,218,Open
ALT000090,2026-06-26,P037,Atorvastatine,WH007,Milan Distribution Center,SUP003,BioHealth Distribution,Low Stock,Medium,74,128,716,Open
ALT000091,2026-06-26,P033,Fluconazole,WH010,Amsterdam Distribution Center,SUP003,BioHealth Distribution,Low Stock,High,40,229,440,Open
ALT000092,2026-06-26,P021,Tramadol,WH005,Madrid Distribution Center,SUP007,ColdMed Logistics,Low Stock,Medium,95,177,553,Open
ALT000093,2026-06-26,P011,Dafalgan,WH009,Brussels Distribution Center,SUP002,PharmaLogistics,Low Stock,High,35,99,5,Open
ALT000094,2026-06-26,P009,Kardegic,WH010,Amsterdam Distribution Center,SUP002,PharmaLogistics,Low Stock,High,6,115,822,Open
ALT000095,2026-06-26,P040,Salbutamol,WH009,Brussels Distribution Center,SUP002,PharmaLogistics,Low Stock,Medium,91,149,538,Open
ALT000096,2026-06-26,P036,Sertraline,WH004,Munich Distribution Center,SUP006,HealthChain Partners,Low Stock,Medium,77,165,367,Open
ALT000097,2026-06-26,P031,Loratadine,WH010,Amsterdam Distribution Center,SUP003,BioHealth Distribution,Low Stock,Medium,73,269,431,Open
ALT000098,2026-06-26,P020,Gaviscon,WH005,Madrid Distribution Center,SUP008,LifeCare Suppliers,Low Stock,High,13,171,460,Open
ALT000099,2026-06-26,P002,Amoxicilline,WH006,Barcelona Distribution Center,SUP001,MediSupply Europe,Low Stock,High,3,129,456,Open
ALT000100,2026-06-26,P026,Amlodipine,WH003,Berlin Distribution Center,SUP003,BioHealth Distribution,Low Stock,Critical,70,165,26,Open
ALT000101,2026-06-26,P004,Paracetamol,WH004,Munich Distribution Center,SUP003,BioHealth Distribution,Low Stock,Medium,50,231,26,Open
ALT000102,2026-06-26,P019,Mopral,WH007,Milan Distribution Center,SUP001,MediSupply Europe,Low Stock,Medium,178,222,512,Open
ALT000103,2026-06-26,P033,Fluconazole,WH002,Lyon Distribution Center,SUP003,BioHealth Distribution,Low Stock,Medium,80,229,354,Open
ALT000104,2026-06-26,P049,Doxycycline,WH008,Rome Distribution Center,SUP002,PharmaLogistics,Low Stock,High,26,84,323,Open
ALT000105,2026-06-26,P043,Cortancyl,WH010,Amsterdam Distribution Center,SUP006,HealthChain Partners,Low Stock,Medium,62,267,254,Open
ALT000106,2026-06-26,P003,Ibuprofene,WH004,Munich Distribution Center,SUP008,LifeCare Suppliers,Low Stock,High,1,232,346,Open
ALT000107,2026-06-26,P033,Fluconazole,WH006,Barcelona Distribution Center,SUP003,BioHealth Distribution,Low Stock,High,34,229,156,Open
ALT000108,2026-06-26,P005,Augmentin,WH007,Milan Distribution Center,SUP003,BioHealth Distribution,Low Stock,High,11,92,401,Open
ALT000109,2026-06-26,P009,Kardegic,WH009,Brussels Distribution Center,SUP002,PharmaLogistics,Low Stock,Medium,91,115,432,Open
ALT000110,2026-06-26,P015,Plavix,WH004,Munich Distribution Center,SUP001,MediSupply Europe,Low Stock,Critical,198,221,861,Open
ALT000111,2026-06-26,P011,Dafalgan,WH004,Munich Distribution Center,SUP002,PharmaLogistics,Low Stock,Medium,74,99,100,Open
ALT000112,2026-06-26,P001,Doliprane,WH007,Milan Distribution Center,SUP003,BioHealth Distribution,Low Stock,Medium,79,178,666,Open
ALT000113,2026-06-26,P022,Cefixime,WH003,Berlin Distribution Center,SUP007,ColdMed Logistics,Low Stock,Medium,93,145,310,Open
ALT000114,2026-06-26,P019,Mopral,WH007,Milan Distribution Center,SUP001,MediSupply Europe,Low Stock,Medium,93,222,735,Open
ALT000115,2026-06-26,P042,Flagyl,WH010,Amsterdam Distribution Center,SUP007,ColdMed Logistics,Low Stock,Medium,120,133,720,Open
ALT000116,2026-06-26,P008,Spasfon,WH004,Munich Distribution Center,SUP005,Global Pharma Supply,Low Stock,High,23,136,622,Open
ALT000117,2026-06-26,P039,Bisoprolol,WH003,Berlin Distribution Center,SUP005,Global Pharma Supply,Low Stock,High,39,249,709,Open
ALT000118,2026-06-26,P014,Lovenox,WH003,Berlin Distribution Center,SUP007,ColdMed Logistics,Low Stock,Medium,68,223,438,Open
ALT000119,2026-06-26,P032,Cetirizine,WH009,Brussels Distribution Center,SUP001,MediSupply Europe,Low Stock,Medium,80,204,362,Open
ALT000120,2026-06-26,P038,Rivaroxaban,WH005,Madrid Distribution Center,SUP001,MediSupply Europe,Low Stock,Medium,214,259,421,Open
ALT000121,2026-06-26,P033,Fluconazole,WH002,Lyon Distribution Center,SUP003,BioHealth Distribution,Low Stock,High,22,229,227,Open
ALT000122,2026-06-26,P039,Bisoprolol,WH001,Paris Distribution Center,SUP005,Global Pharma Supply,Low Stock,High,35,249,834,Open
ALT000123,2026-06-26,P006,Ventoline,WH005,Madrid Distribution Center,SUP001,MediSupply Europe,Low Stock,High,11,139,106,Open
ALT000124,2026-06-26,P027,Ramipril,WH002,Lyon Distribution Center,SUP004,EuroMeds,Low Stock,Medium,88,130,769,Open
ALT000125,2026-06-26,P036,Sertraline,WH010,Amsterdam Distribution Center,SUP006,HealthChain Partners,Low Stock,Medium,92,165,750,Open
ALT000126,2026-06-26,P033,Fluconazole,WH003,Berlin Distribution Center,SUP003,BioHealth Distribution,Low Stock,High,21,229,415,Open
ALT000127,2026-06-26,P033,Fluconazole,WH002,Lyon Distribution Center,SUP003,BioHealth Distribution,Low Stock,Medium,95,229,864,Open
ALT000128,2026-06-26,P010,Aerius,WH001,Paris Distribution Center,SUP007,ColdMed Logistics,Low Stock,Medium,80,252,73,Open
ALT000129,2026-06-26,P010,Aerius,WH002,Lyon Distribution Center,SUP007,ColdMed Logistics,Low Stock,Medium,62,252,118,Open
ALT000130,2026-06-26,P013,Forlax,WH006,Barcelona Distribution Center,SUP004,EuroMeds,Low Stock,High,22,87,522,Open
ALT000131,2026-06-26,P031,Loratadine,WH004,Munich Distribution Center,SUP003,BioHealth Distribution,Low Stock,High,11,269,70,Open
ALT000132,2026-06-26,P047,Lantus,WH006,Barcelona Distribution Center,SUP007,ColdMed Logistics,Low Stock,High,30,139,125,Open
ALT000133,2026-06-26,P004,Paracetamol,WH005,Madrid Distribution Center,SUP003,BioHealth Distribution,Low Stock,High,29,231,369,Open
ALT000134,2026-06-26,P031,Loratadine,WH002,Lyon Distribution Center,SUP003,BioHealth Distribution,Low Stock,Medium,158,269,92,Open
ALT000135,2026-06-26,P036,Sertraline,WH009,Brussels Distribution Center,SUP006,HealthChain Partners,Low Stock,High,46,165,841,Open
ALT000136,2026-06-26,P020,Gaviscon,WH009,Brussels Distribution Center,SUP008,LifeCare Suppliers,Low Stock,High,33,171,694,Open
ALT000137,2026-06-26,P006,Ventoline,WH002,Lyon Distribution Center,SUP001,MediSupply Europe,Low Stock,High,7,139,304,Open
ALT000138,2026-06-26,P047,Lantus,WH002,Lyon Distribution Center,SUP007,ColdMed Logistics,Low Stock,High,17,139,498,Open
ALT000139,2026-06-26,P025,Insuline,WH005,Madrid Distribution Center,SUP005,Global Pharma Supply,Low Stock,Medium,136,270,184,Open
ALT000140,2026-06-26,P033,Fluconazole,WH004,Munich Distribution Center,SUP003,BioHealth Distribution,Low Stock,Medium,90,229,505,Open
ALT000141,2026-06-26,P041,Clamoxyl,WH004,Munich Distribution Center,SUP007,ColdMed Logistics,Low Stock,High,9,94,222,Open
ALT000142,2026-06-26,P001,Doliprane,WH006,Barcelona Distribution Center,SUP003,BioHealth Distribution,Low Stock,Medium,74,178,786,Open
ALT000143,2026-06-26,P026,Amlodipine,WH005,Madrid Distribution Center,SUP003,BioHealth Distribution,Low Stock,Critical,85,165,661,Open
ALT000144,2026-06-26,P038,Rivaroxaban,WH003,Berlin Distribution Center,SUP001,MediSupply Europe,Low Stock,Medium,70,259,619,Open
ALT000145,2026-06-26,P027,Ramipril,WH007,Milan Distribution Center,SUP004,EuroMeds,Low Stock,Medium,59,130,686,Open
ALT000146,2026-06-26,P024,Metformine,WH005,Madrid Distribution Center,SUP008,LifeCare Suppliers,Low Stock,High,7,294,887,Open
ALT000147,2026-06-26,P043,Cortancyl,WH001,Paris Distribution Center,SUP006,HealthChain Partners,Low Stock,Medium,76,267,67,Open
ALT000148,2026-06-26,P021,Tramadol,WH008,Rome Distribution Center,SUP007,ColdMed Logistics,Low Stock,High,8,177,436,Open
ALT000149,2026-06-26,P017,Levothyrox,WH003,Berlin Distribution Center,SUP004,EuroMeds,Low Stock,Medium,93,194,7,Open
ALT000150,2026-06-26,P013,Forlax,WH003,Berlin Distribution Center,SUP004,EuroMeds,Low Stock,Medium,86,87,737,Open
ALT000151,2026-06-26,P023,Azithromycine,WH003,Berlin Distribution Center,SUP006,HealthChain Partners,Low Stock,High,7,111,464,Open
ALT000152,2026-06-26,P029,Prednisone,WH004,Munich Distribution Center,SUP006,HealthChain Partners,Low Stock,Medium,252,265,198,Open
ALT000153,2026-06-26,P019,Mopral,WH006,Barcelona Distribution Center,SUP001,MediSupply Europe,Low Stock,High,32,222,320,Open
ALT000154,2026-06-26,P028,Omeprazole,WH008,Rome Distribution Center,SUP008,LifeCare Suppliers,Low Stock,Medium,156,232,865,Open
ALT000155,2026-06-26,P004,Paracetamol,WH003,Berlin Distribution Center,SUP003,BioHealth Distribution,Low Stock,High,12,231,111,Open
ALT000156,2026-06-26,P029,Prednisone,WH009,Brussels Distribution Center,SUP006,HealthChain Partners,Low Stock,Medium,71,265,875,Open
ALT000157,2026-06-26,P010,Aerius,WH007,Milan Distribution Center,SUP007,ColdMed Logistics,Low Stock,Medium,161,252,404,Open
ALT000158,2026-06-26,P007,Efferalgan,WH006,Barcelona Distribution Center,SUP003,BioHealth Distribution,Low Stock,Critical,158,214,331,Open
ALT000159,2026-06-26,P001,Doliprane,WH001,Paris Distribution Center,SUP003,BioHealth Distribution,Low Stock,High,42,178,363,Open
ALT000160,2026-06-26,P047,Lantus,WH006,Barcelona Distribution Center,SUP007,ColdMed Logistics,Low Stock,High,48,139,177,Open
ALT000161,2026-06-26,P033,Fluconazole,WH007,Milan Distribution Center,SUP003,BioHealth Distribution,Low Stock,Medium,99,229,240,Open
ALT000162,2026-06-26,P032,Cetirizine,WH005,Madrid Distribution Center,SUP001,MediSupply Europe,Low Stock,Medium,76,204,97,Open
ALT000163,2026-06-26,P032,Cetirizine,WH008,Rome Distribution Center,SUP001,MediSupply Europe,Low Stock,High,23,204,568,Open
ALT000164,2026-06-26,P046,Humalog,WH009,Brussels Distribution Center,SUP001,MediSupply Europe,Low Stock,Medium,60,132,273,Open
ALT000165,2026-06-26,P018,Zyrtec,WH007,Milan Distribution Center,SUP002,PharmaLogistics,Low Stock,High,11,294,812,Open
ALT000166,2026-06-26,P007,Efferalgan,WH010,Amsterdam Distribution Center,SUP003,BioHealth Distribution,Low Stock,Critical,149,214,863,Open
ALT000167,2026-06-26,P007,Efferalgan,WH009,Brussels Distribution Center,SUP003,BioHealth Distribution,Low Stock,Critical,135,214,433,Open
ALT000168,2026-06-26,P023,Azithromycine,WH007,Milan Distribution Center,SUP006,HealthChain Partners,Low Stock,High,3,111,854,Open
ALT000169,2026-06-26,P021,Tramadol,WH002,Lyon Distribution Center,SUP007,ColdMed Logistics,Low Stock,High,5,177,423,Open
ALT000170,2026-06-26,P018,Zyrtec,WH001,Paris Distribution Center,SUP002,PharmaLogistics,Low Stock,Medium,82,294,169,Open
ALT000171,2026-06-26,P023,Azithromycine,WH010,Amsterdam Distribution Center,SUP006,HealthChain Partners,Low Stock,Medium,64,111,499,Open
ALT000172,2026-06-26,P020,Gaviscon,WH006,Barcelona Distribution Center,SUP008,LifeCare Suppliers,Low Stock,Medium,52,171,112,Open
ALT000173,2026-06-26,P038,Rivaroxaban,WH006,Barcelona Distribution Center,SUP001,MediSupply Europe,Low Stock,Medium,56,259,771,Open
ALT000174,2026-06-26,P030,Furosemide,WH007,Milan Distribution Center,SUP003,BioHealth Distribution,Low Stock,High,39,142,768,Open
ALT000175,2026-06-26,P009,Kardegic,WH009,Brussels Distribution Center,SUP002,PharmaLogistics,Low Stock,High,18,115,247,Open
ALT000176,2026-06-26,P035,Biseptine,WH006,Barcelona Distribution Center,SUP007,ColdMed Logistics,Low Stock,Medium,88,137,562,Open
ALT000177,2026-06-26,P023,Azithromycine,WH007,Milan Distribution Center,SUP006,HealthChain Partners,Low Stock,Medium,77,111,342,Open
ALT000178,2026-06-26,P025,Insuline,WH004,Munich Distribution Center,SUP005,Global Pharma Supply,Low Stock,Medium,52,270,697,Open
ALT000179,2026-06-26,P009,Kardegic,WH010,Amsterdam Distribution Center,SUP002,PharmaLogistics,Low Stock,Medium,51,115,349,Open
ALT000180,2026-06-26,P022,Cefixime,WH004,Munich Distribution Center,SUP007,ColdMed Logistics,Low Stock,Medium,87,145,632,Open
ALT000181,2026-06-26,P046,Humalog,WH007,Milan Distribution Center,SUP001,MediSupply Europe,Low Stock,High,14,132,277,Open
ALT000182,2026-06-26,P029,Prednisone,WH003,Berlin Distribution Center,SUP006,HealthChain Partners,Low Stock,Medium,233,265,125,Open
ALT000183,2026-06-26,P023,Azithromycine,WH003,Berlin Distribution Center,SUP006,HealthChain Partners,Low Stock,High,4,111,637,Open
ALT000184,2026-06-26,P006,Ventoline,WH004,Munich Distribution Center,SUP001,MediSupply Europe,Low Stock,Medium,58,139,339,Open
ALT000185,2026-06-26,P018,Zyrtec,WH009,Brussels Distribution Center,SUP002,PharmaLogistics,Low Stock,Medium,198,294,147,Open
ALT000186,2026-06-26,P034,Ketoprofene,WH007,Milan Distribution Center,SUP005,Global Pharma Supply,Low Stock,High,36,137,324,Open
ALT000187,2026-06-26,P040,Salbutamol,WH010,Amsterdam Distribution Center,SUP002,PharmaLogistics,Low Stock,High,37,149,513,Open
ALT000188,2026-06-26,P046,Humalog,WH005,Madrid Distribution Center,SUP001,MediSupply Europe,Low Stock,Medium,71,132,655,Open
ALT000189,2026-06-26,P002,Amoxicilline,WH009,Brussels Distribution Center,SUP001,MediSupply Europe,Low Stock,High,17,129,22,Open
ALT000190,2026-06-26,P026,Amlodipine,WH005,Madrid Distribution Center,SUP003,BioHealth Distribution,Low Stock,Critical,84,165,485,Open
ALT000191,2026-06-26,P011,Dafalgan,WH009,Brussels Distribution Center,SUP002,PharmaLogistics,Low Stock,Medium,59,99,338,Open
ALT000192,2026-06-26,P011,Dafalgan,WH005,Madrid Distribution Center,SUP002,PharmaLogistics,Low Stock,Medium,91,99,689,Open
ALT000193,2026-06-26,P036,Sertraline,WH007,Milan Distribution Center,SUP006,HealthChain Partners,Low Stock,Medium,54,165,539,Open
ALT000194,2026-06-26,P035,Biseptine,WH004,Munich Distribution Center,SUP007,ColdMed Logistics,Low Stock,High,36,137,30,Open
ALT000195,2026-06-26,P047,Lantus,WH005,Madrid Distribution Center,SUP007,ColdMed Logistics,Low Stock,High,48,139,640,Open
ALT000196,2026-06-26,P020,Gaviscon,WH005,Madrid Distribution Center,SUP008,LifeCare Suppliers,Low Stock,High,16,171,177,Open
ALT000197,2026-06-26,P035,Biseptine,WH001,Paris Distribution Center,SUP007,ColdMed Logistics,Low Stock,Medium,63,137,271,Open
ALT000198,2026-06-26,P043,Cortancyl,WH004,Munich Distribution Center,SUP006,HealthChain Partners,Low Stock,Medium,80,267,797,Open
